Adjectives_1_Word,Adjectives_1_Frequency,Adjectives_2_Word,Adjectives_2_Frequency,Adjectives_3_Word,Adjectives_3_Frequency,Adjectives_4_Word,Adjectives_4_Frequency,Adjectives_5_Word,Adjectives_5_Frequency,Adjectives_6_Word,Adjectives_6_Frequency,Overall_Word,Overall_Frequency
beautiful,19,futuristic,22,beautiful,12,colourful,17,scary,19,beautiful,12,beautiful,66
black,16,beautiful,12,abstract,9,white,11,surreal,8,cute,6,surreal,35
white,12,bright,6,artistic,9,abstract,11,abstract,7,creative,5,abstract,33
surreal,9,blue,6,surreal,7,artistic,10,dark,6,colorful,5,artistic,31
strange,6,tall,6,red,6,beautiful,10,weird,6,surreal,5,white,27
elegant,5,fantastical,5,natural,5,strong,7,unsettling,5,artistic,4,scary,27
artistic,5,unreal,4,creative,4,bold,5,ugly,4,pink,4,futuristic,25
serene,5,imaginative,4,black,4,powerful,5,unpleasant,3,fantastical,4,colourful,24
intriguing,4,magical,4,dark,3,vibrant,4,strange,3,calm,3,black,21
unique,4,surreal,4,floral,3,fierce,3,sad,3,weird,3,creative,19
blue,4,colourful,3,strange,3,wild,3,creative,3,strange,3,strange,18
odd,3,creative,3,mysterious,3,scary,3,gross,2,colourful,3,weird,14
weird,3,earthy,2,organic,3,colorful,3,futuristic,2,unrealistic,3,dark,14
dark,3,strange,2,ethereal,3,angry,2,horrific,2,warm,3,mysterious,12
unusual,3,odd,2,different,3,modern,2,artistic,2,whimsical,3,bold,12
mysterious,3,white,2,good,2,intense,2,interesting,2,serene,2,blue,12
bold,3,imaginary,2,painful,2,dark,2,troubled,2,autumnal,2,bright,11
realistic,3,mystical,2,fascinating,2,chaotic,2,unusual,2,curious,2,fantastical,10
bizarre,2,abstract,2,intriguing,2,brave,2,bold,2,unusual,2,ethereal,9
attractive,2,urban,2,weird,2,mysterious,2,awful,1,unique,2,natural,9
calm,2,ethereal,2,scary,2,dynamic,2,revengeful,1,floral,2,colorful,9
big,2,peaceful,2,white,2,different,2,crazy,1,mysterious,2,unique,8
delicate,2,whimsical,2,nice,2,amazing,2,experimental,1,funny,2,unusual,8
creative,2,old,2,bold,2,nice,2,harmful,1,soft,2,different,8
young,2,cloudy,2,clever,1,surreal,2,anti,1,abstract,2,serene,8
lovely,2,amazing,2,sweet,1,creative,2,human,1,small,2,tall,8
abstract,2,nice,2,fictional,1,clever,2,modern,1,nice,2,nice,8
ethereal,2,elegant,2,unreal,1,expressive,2,cool,1,bright,2,intriguing,7
enigmatic,2,grand,1,mystical,1,dramatic,2,nasty,1,big,2,elegant,7
gentle,2,intriguing,1,interesting,1,derivative,1,dull,1,sweet,1,wild,7
natural,2,different,1,feminine,1,uninspired,1,unreal,1,confused,1,vibrant,7
bright,2,special,1,aesthetic,1,strange,1,realistic,1,avian,1,red,7
brave,2,unique,1,small,1,warm,1,elective,1,cloudy,1,cute,7
unsettling,1,noble,1,sad,1,fascinating,1,cybernetic,1,interesting,1,powerful,7
old,1,colouful,1,cold,1,futuristic,1,loud,1,busy,1,strong,7
modern,1,wild,1,tired,1,cool,1,terrible,1,dreary,1,unsettling,6
alluring,1,majestous,1,harmful,1,savage,1,organic,1,savage,1,calm,6
absurd,1,fictious,1,cerebral,1,circular,1,beautiful,1,wild,1,unrealistic,6
interesting,1,unrealistic,1,blind,1,fancy,1,cruel,1,birl,1,big,6
fantastical,1,high,1,fragile,1,great,1,blue,1,cold,1,sad,6
aesthetic,1,erratic,1,nervous,1,magical,1,bigc,1,rocky,1,unreal,6
misterious,1,vivid,1,magnificent,1,american,1,like,1,ugly,1,magical,6
cool,1,sunny,1,colourful,1,aggressive,1,injured,1,pleasant,1,ugly,6
stupid,1,hopeful,1,pink,1,bright,1,fearful,1,unnecessary,1,odd,5
pretentious,1,fictitious,1,long,1,blue,1,hard,1,like,1,interesting,5
lengthy,1,charming,1,wild,1,impressionable,1,sorrowful,1,imaginative,1,vivid,5
crow,1,lush,1,young,1,excited,1,brown,1,decorative,1,lovely,5
gloomy,1,outstanding,1,pale,1,fantastic,1,funny,1,adventourous,1,realistic,5
unrealistic,1,lovely,1,green,1,mystical,1,unrealistic,1,amazing,1,funny,5
irrealistic,1,realistic,1,brown,1,smooth,1,ethereal,1,stunning,1,brave,5
different,1,funny,1,intense,1,vintage,1,vivid,1,intricate,1,imaginative,5
stylish,1,warm,1,unnatural,1,vivid,1,young,1,dull,1,mystical,5
vivid,1,conceptual,1,shocking,1,coloful,1,desperate,1,scary,1,whimsical,5
soft,1,major,1,vivid,1,skilled,1,skilled,1,skilled,1,amazing,5
stunning,1,bushy,1,horrific,1,impressive,1,depressed,1,cheerful,1,warm,5
brown,1,scary,1,unique,1,fiery,1,open,1,joyful,1,floral,5
flat,1,artistic,1,pleasant,1,red,1,brave,1,therapeutic,1,pink,5
light,1,vibrant,1,earthly,1,nuetral,1,deadly,1,sad,1,modern,4
funny,1,defying,1,beatiful,1,sophisticated,1,rare,1,little,1,cool,4
clean,1,big,1,skilled,1,majestic,1,creepy,1,ethereal,1,young,4
sad,1,green,1,colorful,1,lovely,1,descriptive,1,gloomy,1,enigmatic,4
eroneous,1,enigmatic,1,inhumane,1,fearless,1,different,1,attractive,1,expressive,4
scary,1,mysterious,1,cool,1,big,1,disruptive,1,creepy,1,peaceful,4
expressive,1,contrastic,1,calm,1,symbolic,1,mysterious,1,vibrant,1,organic,4
pure,1,mighty,1,gorgeous,1,beatiful,1,enigmatic,1,mystical,1,skilled,4
sharp,1,magnificent,1,graceful,1,ugly,1,uncomfortable,1,magical,1,old,3
peaceful,1,wonderful,1,expressive,1,unusual,1,medical,1,tall,1,attractive,3
good,1,technological,1,lovely,1,rich,1,wild,1,natural,1,soft,3
morden,1,natural,1,cute,1,black,1,,0,powerful,1,brown,3
fake,1,majestic,1,serene,1,yellow,1,,0,,0,good,3
adorable,1,,0,vibrant,1,,0,,0,,0,symbolic,3
sensual,1,,0,intricate,1,,0,,0,,0,earthy,3
poetic,1,,0,botanical,1,,0,,0,,0,cloudy,3
symbolic,1,,0,mixed,1,,0,,0,,0,clever,3
unnatural,1,,0,tall,1,,0,,0,,0,fascinating,3
balanced,1,,0,brownish,1,,0,,0,,0,small,3
,0,,0,symbolic,1,,0,,0,,0,intense,3
,0,,0,ecological,1,,0,,0,,0,horrific,3
,0,,0,earthy,1,,0,,0,,0,fierce,3
,0,,0,powerful,1,,0,,0,,0,unpleasant,3
,0,,0,fashionable,1,,0,,0,,0,bizarre,2
,0,,0,juvenile,1,,0,,0,,0,aesthetic,2
,0,,0,peaceful,1,,0,,0,,0,gloomy,2
,0,,0,,0,,0,,0,,0,delicate,2
,0,,0,,0,,0,,0,,0,stunning,2
,0,,0,,0,,0,,0,,0,gentle,2
,0,,0,,0,,0,,0,,0,unnatural,2
,0,,0,,0,,0,,0,,0,imaginary,2
,0,,0,,0,,0,,0,,0,urban,2
,0,,0,,0,,0,,0,,0,green,2
,0,,0,,0,,0,,0,,0,magnificent,2
,0,,0,,0,,0,,0,,0,majestic,2
,0,,0,,0,,0,,0,,0,sweet,2
,0,,0,,0,,0,,0,,0,painful,2
,0,,0,,0,,0,,0,,0,cold,2
,0,,0,,0,,0,,0,,0,harmful,2
,0,,0,,0,,0,,0,,0,pleasant,2
,0,,0,,0,,0,,0,,0,beatiful,2
,0,,0,,0,,0,,0,,0,intricate,2
,0,,0,,0,,0,,0,,0,angry,2
,0,,0,,0,,0,,0,,0,savage,2
,0,,0,,0,,0,,0,,0,chaotic,2
,0,,0,,0,,0,,0,,0,dynamic,2
,0,,0,,0,,0,,0,,0,dramatic,2
,0,,0,,0,,0,,0,,0,gross,2
,0,,0,,0,,0,,0,,0,dull,2
,0,,0,,0,,0,,0,,0,like,2
,0,,0,,0,,0,,0,,0,troubled,2
,0,,0,,0,,0,,0,,0,creepy,2
,0,,0,,0,,0,,0,,0,autumnal,2
,0,,0,,0,,0,,0,,0,curious,2
,0,,0,,0,,0,,0,,0,alluring,1
,0,,0,,0,,0,,0,,0,absurd,1
,0,,0,,0,,0,,0,,0,misterious,1
,0,,0,,0,,0,,0,,0,stupid,1
,0,,0,,0,,0,,0,,0,pretentious,1
,0,,0,,0,,0,,0,,0,lengthy,1
,0,,0,,0,,0,,0,,0,crow,1
,0,,0,,0,,0,,0,,0,irrealistic,1
,0,,0,,0,,0,,0,,0,stylish,1
,0,,0,,0,,0,,0,,0,flat,1
,0,,0,,0,,0,,0,,0,light,1
,0,,0,,0,,0,,0,,0,clean,1
,0,,0,,0,,0,,0,,0,eroneous,1
,0,,0,,0,,0,,0,,0,pure,1
,0,,0,,0,,0,,0,,0,sharp,1
,0,,0,,0,,0,,0,,0,morden,1
,0,,0,,0,,0,,0,,0,fake,1
,0,,0,,0,,0,,0,,0,adorable,1
,0,,0,,0,,0,,0,,0,sensual,1
,0,,0,,0,,0,,0,,0,poetic,1
,0,,0,,0,,0,,0,,0,balanced,1
,0,,0,,0,,0,,0,,0,grand,1
,0,,0,,0,,0,,0,,0,special,1
,0,,0,,0,,0,,0,,0,noble,1
,0,,0,,0,,0,,0,,0,colouful,1
,0,,0,,0,,0,,0,,0,majestous,1
,0,,0,,0,,0,,0,,0,fictious,1
,0,,0,,0,,0,,0,,0,high,1
,0,,0,,0,,0,,0,,0,erratic,1
,0,,0,,0,,0,,0,,0,sunny,1
,0,,0,,0,,0,,0,,0,hopeful,1
,0,,0,,0,,0,,0,,0,fictitious,1
,0,,0,,0,,0,,0,,0,charming,1
,0,,0,,0,,0,,0,,0,lush,1
,0,,0,,0,,0,,0,,0,outstanding,1
,0,,0,,0,,0,,0,,0,conceptual,1
,0,,0,,0,,0,,0,,0,major,1
,0,,0,,0,,0,,0,,0,bushy,1
,0,,0,,0,,0,,0,,0,defying,1
,0,,0,,0,,0,,0,,0,contrastic,1
,0,,0,,0,,0,,0,,0,mighty,1
,0,,0,,0,,0,,0,,0,wonderful,1
,0,,0,,0,,0,,0,,0,technological,1
,0,,0,,0,,0,,0,,0,fictional,1
,0,,0,,0,,0,,0,,0,feminine,1
,0,,0,,0,,0,,0,,0,tired,1
,0,,0,,0,,0,,0,,0,cerebral,1
,0,,0,,0,,0,,0,,0,blind,1
,0,,0,,0,,0,,0,,0,fragile,1
,0,,0,,0,,0,,0,,0,nervous,1
,0,,0,,0,,0,,0,,0,long,1
,0,,0,,0,,0,,0,,0,pale,1
,0,,0,,0,,0,,0,,0,shocking,1
,0,,0,,0,,0,,0,,0,earthly,1
,0,,0,,0,,0,,0,,0,inhumane,1
,0,,0,,0,,0,,0,,0,gorgeous,1
,0,,0,,0,,0,,0,,0,graceful,1
,0,,0,,0,,0,,0,,0,botanical,1
,0,,0,,0,,0,,0,,0,mixed,1
,0,,0,,0,,0,,0,,0,brownish,1
,0,,0,,0,,0,,0,,0,ecological,1
,0,,0,,0,,0,,0,,0,fashionable,1
,0,,0,,0,,0,,0,,0,juvenile,1
,0,,0,,0,,0,,0,,0,derivative,1
,0,,0,,0,,0,,0,,0,uninspired,1
,0,,0,,0,,0,,0,,0,circular,1
,0,,0,,0,,0,,0,,0,fancy,1
,0,,0,,0,,0,,0,,0,great,1
,0,,0,,0,,0,,0,,0,american,1
,0,,0,,0,,0,,0,,0,aggressive,1
,0,,0,,0,,0,,0,,0,impressionable,1
,0,,0,,0,,0,,0,,0,excited,1
,0,,0,,0,,0,,0,,0,fantastic,1
,0,,0,,0,,0,,0,,0,smooth,1
,0,,0,,0,,0,,0,,0,vintage,1
,0,,0,,0,,0,,0,,0,coloful,1
,0,,0,,0,,0,,0,,0,impressive,1
,0,,0,,0,,0,,0,,0,fiery,1
,0,,0,,0,,0,,0,,0,nuetral,1
,0,,0,,0,,0,,0,,0,sophisticated,1
