Description_1_Word,Description_1_Frequency,Description_2_Word,Description_2_Frequency,Description_3_Word,Description_3_Frequency,Description_4_Word,Description_4_Frequency,Description_5_Word,Description_5_Frequency,Description_6_Word,Description_6_Frequency,Overall_Word,Overall_Frequency
white,90,sky,63,woman,72,eagle,87,head,64,bird,104,bird,196
head,73,tree,53,leave,43,white,45,face,54,owl,86,head,195
dress,68,building,37,face,40,painting,30,object,27,flower,50,white,167
woman,66,city,36,cover,34,colour,28,image,26,nest,41,woman,143
black,64,cloud,32,hair,33,bird,25,human,23,sit,28,image,121
bird,59,green,27,head,29,background,21,like,20,small,21,face,115
wear,51,image,25,branch,28,feather,21,eye,19,tree,21,like,101
crow,33,blue,21,flower,24,abstract,20,look,17,background,19,eagle,99
lady,33,like,19,lady,23,paint,19,come,16,like,18,black,95
hat,27,float,19,plant,19,image,19,painting,13,image,17,background,94
shoulder,24,look,18,eye,18,color,18,thing,11,look,15,look,94
background,23,futuristic,17,image,16,yellow,16,paint,10,mountain,15,owl,91
blue,23,castle,16,white,14,orange,16,surround,10,head,15,tree,85
like,21,high,14,black,14,black,15,person,10,sky,13,sky,83
look,20,white,11,look,13,head,14,child,10,depict,12,painting,76
young,18,build,11,twig,12,like,13,depict,10,show,10,flower,76
eye,18,island,10,background,12,mix,12,dark,10,colour,10,eye,70
image,18,fantasy,10,painting,12,style,11,colour,9,beautiful,10,dress,68
close,16,structure,10,dark,11,look,11,background,9,cloud,9,colour,68
large,13,background,10,tree,11,red,10,picture,9,creature,9,blue,62
hair,12,surround,9,red,11,different,9,show,9,leave,9,wear,57
stand,12,tower,9,colour,10,artistic,9,scary,8,perch,9,lady,56
raven,11,bright,9,like,10,show,9,strange,8,pink,8,leave,53
beautiful,11,beautiful,9,young,9,blue,8,skin,7,grey,8,hair,50
wing,10,house,9,portrait,9,art,8,sad,7,painting,8,style,49
picture,10,style,9,grow,9,eye,8,appear,7,float,7,cover,49
painting,10,large,8,lip,9,wing,7,different,6,style,7,depict,46
eagle,9,pillar,8,style,9,face,7,art,6,surround,7,show,46
light,8,air,8,beautiful,8,prey,6,ball,6,face,7,picture,44
brown,7,forest,7,picture,7,stroke,6,hole,6,feather,7,beautiful,44
style,7,depict,7,girl,7,swirl,6,abstract,6,fantasy,7,cloud,43
colour,7,greenery,7,show,7,depict,6,style,6,eye,7,nest,42
face,7,picture,7,art,7,bald,6,young,6,large,6,green,39
depict,6,bird,7,color,6,appear,5,horror,5,picture,6,building,38
spread,5,palace,6,wear,5,brush,5,dripping,5,surreal,5,city,36
dark,5,lush,6,green,5,beautiful,5,hair,5,natural,5,dark,35
fly,5,hang,6,artistic,5,picture,5,blue,5,body,5,surround,35
girl,5,suspend,6,pale,5,oil,5,grey,5,figure,5,paint,34
contrast,5,tall,6,surreal,5,warm,5,lot,5,viewer,5,young,34
artistic,5,mountain,6,nature,5,portrait,5,shape,5,yellow,5,sit,34
grey,5,lot,6,neck,5,colourful,5,baby,5,big,5,crow,33
realistic,5,show,6,depict,5,owl,5,woman,5,artistic,4,feather,33
soft,5,cover,6,blend,5,dark,4,disturbing,4,cartoon,4,color,33
sit,5,fly,6,mouth,5,surround,4,closed,4,cover,4,abstract,32
show,5,fi,5,obscure,5,brushstroke,4,green,4,brown,4,branch,31
flight,4,nature,5,surround,5,vibrant,4,brain,4,blue,4,hat,30
sky,4,vegetation,5,half,4,beak,4,fall,4,white,4,float,30
female,4,sci,4,female,4,fire,4,grow,4,abstract,4,shoulder,29
sideways,4,vine,4,different,4,form,3,creepy,4,feature,4,large,28
oil,4,set,4,foliage,4,centre,3,growth,4,form,4,art,28
big,4,colour,4,leafs,4,golden,3,unsettling,4,dark,4,object,28
paint,3,world,4,shoulder,4,blend,3,dead,4,create,4,artistic,26
ruffle,3,appear,4,butterfly,4,mainly,3,portrait,4,nature,4,small,24
blonde,3,perch,4,open,4,movement,3,surreal,4,element,4,human,24
feather,3,art,4,stick,4,manner,3,man,4,landscape,4,yellow,23
blond,3,clear,4,hide,3,bold,3,protrude,4,portrait,3,close,22
cover,3,color,4,autumn,3,drawing,3,eyeball,3,pastel,3,appear,22
mix,3,brown,3,tangle,3,vivid,3,white,3,dreamy,3,portrait,22
left,3,plant,3,brown,3,catch,3,drip,3,castle,3,plant,22
photo,3,jungle,3,vine,3,combination,3,orb,3,corner,3,different,22
painterly,3,magical,3,skin,3,chaotic,3,unknown,3,illustration,3,mountain,21
model,3,view,3,create,3,american,2,tell,3,eagle,3,red,21
carry,3,kind,3,appear,3,round,2,close,3,sort,3,brown,20
long,3,mid,3,fall,3,splash,2,float,3,draw,3,grey,19
position,2,place,3,partially,3,coloured,2,sever,3,scene,3,mix,19
photographic,2,painting,3,wrap,3,bright,2,open,3,different,3,castle,19
slight,2,vibrant,3,stem,3,earth,2,stick,3,baby,3,come,19
coloured,2,painterly,3,body,3,blur,2,bald,3,little,3,wing,18
frilly,2,feel,3,composition,3,night,2,organic,3,animal,2,surreal,18
realism,2,big,3,intricate,3,sky,2,organ,3,ball,2,fantasy,18
elegant,2,film,2,natural,3,long,2,multiple,3,set,2,futuristic,18
pose,2,form,2,thought,3,mixed,2,feature,3,hill,2,high,16
viewer,2,foliage,2,autumnal,2,colorful,2,form,2,spring,2,nature,16
arm,2,sunny,2,disturbing,2,subject,2,item,2,air,2,orange,16
profile,2,day,2,mix,2,hat,2,pastel,2,come,2,stand,15
mid,2,ancient,2,entwine,2,real,2,looking,2,mother,2,perch,15
mixed,2,platform,2,drawing,2,clearly,2,weird,2,hide,2,lot,15
green,2,town,2,bush,2,brown,2,pink,2,left,2,big,14
open,2,ground,2,lipstick,2,tone,2,alien,2,lot,2,create,14
represent,2,balanced,2,cloudy,2,resemble,2,scene,2,creepy,2,person,14
manner,2,branch,2,bit,2,heavy,2,sharp,2,help,2,twig,14
create,2,village,2,womans,2,contrast,2,robot,2,mind,2,fly,13
flower,2,see,2,abstract,2,feature,2,circular,2,true,2,light,13
skin,2,top,2,type,2,gaze,2,cry,2,sense,2,bright,13
person,2,realistic,2,long,2,create,2,place,2,part,2,structure,13
corvus,2,sun,2,thorn,2,close,2,create,2,hand,2,grow,13
camera,2,skyscraper,2,entangle,2,render,2,greenish,2,centre,2,girl,12
slightly,2,column,2,weed,2,striking,2,figure,2,appear,2,natural,12
yellow,2,kingdom,2,illustration,2,big,2,unusual,2,fill,2,skin,12
lip,2,water,2,nose,2,sharp,2,attach,2,soft,2,build,12
hear,2,cloudy,2,left,2,hue,2,torment,2,color,2,thing,12
calm,2,space,2,draw,2,pic,2,structure,2,child,2,pink,12
standing,2,area,2,fill,2,speed,2,emerge,2,colorful,2,child,12
surreal,2,flock,2,feather,2,pain,1,gothic,2,ontop,2,air,11
effect,2,colorful,2,similar,2,mixture,1,pale,2,mountainous,2,raven,11
serene,2,represent,2,pink,2,indigenous,1,adorn,2,area,2,blend,11
perch,2,situate,2,nice,2,north,1,tendril,2,ai,2,oil,11
hawk,2,small,2,watercolour,2,culture,1,blood,2,generate,2,lip,11
view,1,breathtaking,2,digital,2,popular,1,digital,2,art,2,island,11
tie,1,blend,2,portray,2,poster,1,color,2,fantastical,2,form,11
tall,1,sunlight,2,ethereal,2,curl,1,zombie,2,organic,2,open,10
softly,1,element,2,wild,2,globe,1,cover,2,rock,2,feature,10
mistake,1,warm,2,crown,2,possibly,1,part,2,black,2,body,10
version,1,artistic,2,pic,2,earty,1,neck,2,seat,2,creature,10
surrealism,1,mix,2,intertwine,2,ocher,1,subject,2,light,2,female,9
strike,1,theme,1,balanced,2,anrgy,1,thought,2,compose,2,contrast,9
air,1,oom,1,close,1,graffiti,1,haunt,2,stand,2,sad,9
menace,1,hand,1,dead,1,situate,1,artwork,2,predator,2,realistic,9
rook,1,comfortable,1,strike,1,multicoloure,1,element,2,power,2,left,9
type,1,depiction,1,slightly,1,surreal,1,wound,2,owlet,1,set,9
actually,1,grace,1,painful,1,modern,1,round,2,ambivalent,1,stick,9
floral,1,2970s,1,distress,1,rough,1,pierce,2,contrast,1,neck,9
land,1,rick,1,branches,1,whirl,1,peel,1,naturalistic,1,tower,9
plain,1,album,1,hat,1,circular,1,stretch,1,representative,1,house,9
outside,1,base,1,fascinator,1,super,1,range,1,troubling,1,element,9
portraiture,1,playful,1,combine,1,impose,1,associate,1,balance,1,strange,9
slim,1,sandstone,1,autum,1,blurred,1,imagine,1,contain,1,bald,9
outspread,1,elden,1,leafe,1,backdrop,1,real,1,misty,1,viewer,8
marbled,1,ring,1,come,1,clear,1,allegorical,1,th,1,place,8
avant,1,ontop,1,floral,1,move,1,unconnected,1,modern,1,soft,8
garde,1,scape,1,design,1,use,1,random,1,tim,1,painterly,8
shoulderless,1,utopia,1,contemporary,1,flight,1,trap,1,burton,1,digital,8
flowery,1,surreal,1,bramble,1,float,1,product,1,meet,1,pillar,8
stretch,1,si,1,contain,1,focusse,1,mutant,1,pixar,1,forest,8
giant,1,colourful,1,fruit,1,determine,1,pain,1,magical,1,hang,8
aesthetic,1,middle,1,coloured,1,central,1,model,1,pale,1,colourful,8
give,1,reflecting,1,blue,1,flow,1,futuristic,1,autumnal,1,warm,8
natural,1,lake,1,portraiture,1,frantic,1,imaginary,1,stone,1,pale,8
misterious,1,valley,1,marbled,1,wrap,1,scientific,1,possibly,1,scary,8
wall,1,reign,1,unreal,1,sphere,1,experiment,1,item,1,ball,8
way,1,probably,1,take,1,body,1,dehumanise,1,building,1,baby,8
suggest,1,hide,1,die,1,harsh,1,attached,1,far,1,tall,7
stark,1,utopian,1,hate,1,arise,1,lump,1,island,1,draw,7
positioning,1,future,1,go,1,ashe,1,differ,1,bit,1,long,7
clumsy,1,detail,1,detail,1,phoenix,1,shell,1,dreary,1,thought,7
blend,1,sharp,1,mixed,1,lodge,1,blob,1,way,1,composition,7
atop,1,line,1,representational,1,street,1,future,1,depiction,1,vine,7
demure,1,impressionistic,1,lot,1,cre,1,meld,1,realistic,1,suspend,7
blackness,1,create,1,ramification,1,modernist,1,centre,1,paint,1,hide,7
